csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",63648,0.093796,8.201,21834.605846,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",77920,0.119074,10.125,34398.738809,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",96896,0.165702,10.517,49438.037013,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",106496,0.259293,10.546,63187.141849,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",118176,0.450139,10.957,72795.244414,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",131520,0.831605,10.883,78806.620627,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",159296,1.591431,11.552,82361.076613,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",187712,3.130703,12.388,83733.263819,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",237568,6.200808,13.520,84551.568172,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",254048,12.400467,13.521,84559.394474,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",132096,0.826884,10.806,79256.600276,0.44,-0.57,-0.71,0.57
csv,mod16,17,"[16,16,16,16,2]",167264,1.587285,13.326,82576.206586,5.00,-0.26,15.35,0.26
csv,mod16,18,"[16,16,16,16,4]",180512,3.113001,13.346,84209.409749,-3.84,-0.57,7.74,0.57
csv,mod16,19,"[16,16,16,16,8]",193760,6.182783,13.394,84798.062499,-18.44,-0.29,-0.93,0.29
csv,mod16,20,"[16,16,16,16,16]",208064,12.371732,13.516,84755.794945,-18.10,-0.23,-0.03,0.23
csv,uni32x3,15,"[32,32,32]",143936,0.433812,9.218,75534.974590,21.80,-3.63,-15.87,3.76
csv,uni32x3,16,"[32,32,32,2]",187552,0.802726,12.030,81641.826397,42.60,-3.47,10.54,3.60
csv,uni32x3,17,"[32,32,32,4]",197344,1.538548,12.052,85192.010825,23.89,-3.32,4.33,3.44
csv,uni32x3,18,"[32,32,32,8]",214816,3.001407,12.096,87340.374191,14.44,-4.13,-2.36,4.31
csv,uni32x3,19,"[32,32,32,16]",239040,5.982238,12.199,87640.785714,0.62,-3.52,-9.77,3.65
csv,uni32x3,20,"[32,32,32,32]",265824,11.936439,12.473,87846.631715,4.64,-3.74,-7.75,3.89
csv,uni64x2x8,15,"[64,64,8]",197792,0.429033,10.639,76376.345187,67.37,-4.69,-2.90,4.92
csv,uni64x2x8,16,"[64,64,8,2]",239520,0.791133,12.349,82838.165595,82.12,-4.87,13.47,5.12
csv,uni64x2x8,17,"[64,64,8,4]",257792,1.520513,12.569,86202.459700,61.83,-4.46,8.80,4.66
csv,uni64x2x8,18,"[64,64,8,8]",280032,2.969268,12.480,88285.726459,49.18,-5.16,0.74,5.44
csv,uni64x2x8,19,"[64,64,8,16]",340608,5.876152,13.924,89223.019555,43.37,-5.24,2.99,5.52
csv,uni64x2x8,20,"[64,64,8,32]",362976,11.786447,14.096,88964.555663,42.88,-4.95,4.25,5.21
csv,hi128_32_8,15,"[128,32,8]",281504,0.429818,11.664,76236.986992,138.21,-4.51,6.45,4.73
csv,hi128_32_8,16,"[128,32,8,2]",295840,0.787494,13.566,83220.930706,124.94,-5.30,24.65,5.60
csv,hi128_32_8,17,"[128,32,8,4]",319840,1.504215,13.567,87136.487819,100.78,-5.48,17.44,5.80
csv,hi128_32_8,18,"[128,32,8,8]",366784,2.942711,14.015,89082.470966,95.40,-6.00,13.14,6.39
csv,hi128_32_8,19,"[128,32,8,16]",415168,5.833073,14.197,89881.949568,74.76,-5.93,5.00,6.30
csv,hi128_32_8,20,"[128,32,8,32]",445376,11.657318,14.582,89950.018162,75.31,-5.99,7.85,6.37
