csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],48696,0.019962,1.209,102594.108052,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],56608,0.027463,1.232,149146.026121,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],69920,0.041966,1.371,195207.014871,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],71584,0.071208,1.336,230087.812542,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],77824,0.130481,1.417,251133.058975,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],84480,0.248125,1.455,264124.473978,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],110272,0.485053,1.640,270222.194133,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],139808,0.957147,1.811,273880.472821,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],192640,1.899570,2.064,276003.562790,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],192640,3.794253,2.106,276359.021507,0.00,0.00,0.00,0.00
csv,paper,21,[16,16,8,1024],208032,7.685558,2.249,272869.186191,0.00,0.00,0.00,0.00
csv,paper,22,[16,16,8,2048],208032,15.325637,2.261,273678.929658,0.00,0.00,0.00,0.00
csv,paper,23,[16,16,8,4096],208032,30.635251,2.273,273822.071568,0.00,0.00,0.00,0.00
csv,paper,24,[16,16,8,8192],210944,61.237622,2.283,273969.098470,0.00,0.00,0.00,0.00
csv,paper,25,[16,16,8,16384],223424,122.648244,2.375,273582.653679,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],81568,0.246507,1.474,265858.736721,-3.45,-0.65,1.28,0.66
csv,mod16,17,[16,16,16,16,2],111528,0.480985,1.905,272507.313046,1.14,-0.84,16.18,0.85
csv,mod16,18,[16,16,16,16,4],112360,0.949563,1.892,276068.104985,-19.63,-0.79,4.50,0.80
csv,mod16,19,[16,16,16,16,8],114024,1.886944,1.899,277850.328216,-40.81,-0.66,-7.97,0.67
csv,mod16,20,[16,16,16,16,16],117352,3.795499,1.982,276268.262071,-39.08,0.03,-5.86,-0.03
csv,mod16,21,[16,16,16,16,32],148968,7.684815,2.288,272895.571093,-28.39,-0.01,1.76,0.01
csv,mod16,22,[16,16,16,16,64],162280,15.299208,2.333,274151.709335,-21.99,-0.17,3.23,0.17
csv,mod16,23,[16,16,16,16,128],188904,30.635170,2.423,273822.799019,-9.19,-0.00,6.57,0.00
csv,mod16,24,[16,16,16,16,256],241736,61.287022,2.681,273748.267443,14.60,0.08,17.42,-0.08
csv,mod16,25,[16,16,16,16,512],266696,122.719549,2.862,273423.691309,19.37,0.06,20.50,-0.06
csv,uni32x3,15,[32,32,32],91960,0.124297,1.335,263626.390173,18.16,-4.74,-5.78,4.97
csv,uni32x3,16,[32,32,32,2],135648,0.235957,1.631,277746.105274,60.57,-4.90,12.04,5.16
csv,uni32x3,17,[32,32,32,4],136480,0.464739,1.634,282033.545436,23.77,-4.19,-0.33,4.37
csv,uni32x3,18,[32,32,32,8],138144,0.916020,1.651,286177.245492,-1.19,-4.30,-8.84,4.49
csv,uni32x3,19,[32,32,32,16],141472,1.802389,1.667,290884.996023,-26.56,-5.12,-19.24,5.39
csv,uni32x3,20,[32,32,32,32],148128,3.630906,1.754,288791.853266,-23.11,-4.31,-16.71,4.50
csv,uni32x3,21,[32,32,32,64],200128,7.359783,2.080,284947.529844,-3.80,-4.24,-7.49,4.43
csv,uni32x3,22,[32,32,32,128],226752,14.663855,2.168,286030.113704,9.00,-4.32,-4.09,4.51
csv,uni32x3,23,[32,32,32,256],279584,29.527995,2.469,284089.993483,34.39,-3.61,8.62,3.75
csv,uni32x3,24,[32,32,32,512],279584,59.306188,2.494,282891.494133,32.54,-3.15,9.25,3.26
csv,uni32x3,25,[32,32,32,1024],279584,118.651659,2.523,282797.832656,25.14,-3.26,6.23,3.37
csv,uni64x2x8,15,[64,64,8],148536,0.122816,1.639,266805.282520,90.86,-5.87,15.63,6.24
csv,uni64x2x8,16,[64,64,8,2],156448,0.233064,1.721,281193.149870,85.19,-6.07,18.26,6.46
csv,uni64x2x8,17,[64,64,8,4],157280,0.454018,1.753,288693.466587,42.63,-6.40,6.94,6.84
csv,uni64x2x8,18,[64,64,8,8],158944,0.895886,1.735,292608.818492,13.69,-6.40,-4.20,6.84
csv,uni64x2x8,19,[64,64,8,16],217600,1.779804,2.126,294576.322916,12.96,-6.30,3.02,6.73
csv,uni64x2x8,20,[64,64,8,32],224256,3.580887,2.195,292825.795326,16.41,-5.62,4.25,5.96
csv,uni64x2x8,21,[64,64,8,64],237568,7.259853,2.287,288869.775862,14.20,-5.54,1.70,5.86
csv,uni64x2x8,22,[64,64,8,128],267104,14.503684,2.380,289188.869056,28.40,-5.36,5.31,5.67
csv,uni64x2x8,23,[64,64,8,256],319936,29.021281,2.604,289050.230628,53.79,-5.27,14.54,5.56
csv,uni64x2x8,24,[64,64,8,512],319936,58.050679,2.628,289009.816615,51.67,-5.20,15.12,5.49
csv,uni64x2x8,25,[64,64,8,1024],375264,116.364459,2.972,288356.362509,67.96,-5.12,25.16,5.40
csv,hi128_32_8,15,[128,32,8],201784,0.121737,1.874,269170.889096,159.28,-6.70,32.23,7.18
csv,hi128_32_8,16,[128,32,8,2],209696,0.230597,1.930,284201.400440,148.22,-7.06,32.59,7.60
csv,hi128_32_8,17,[128,32,8,4],210528,0.448398,1.943,292311.503616,90.92,-7.56,18.53,8.17
csv,hi128_32_8,18,[128,32,8,8],225088,0.885144,2.026,296159.600117,61.00,-7.52,11.87,8.13
csv,hi128_32_8,19,[128,32,8,16],231328,1.757934,2.087,298240.926846,20.08,-7.46,1.14,8.06
csv,hi128_32_8,20,[128,32,8,32],237984,3.537800,2.156,296392.133977,23.54,-6.76,2.41,7.25
csv,hi128_32_8,21,[128,32,8,64],251296,7.180752,2.219,292051.866712,20.80,-6.57,-1.33,7.03
csv,hi128_32_8,22,[128,32,8,128],333664,14.331417,2.624,292664.991953,60.39,-6.49,16.09,6.94
csv,hi128_32_8,23,[128,32,8,256],399392,28.686766,2.965,292420.829417,91.99,-6.36,30.44,6.79
csv,hi128_32_8,24,[128,32,8,512],399392,57.432116,2.983,292122.548572,89.34,-6.21,30.63,6.63
csv,hi128_32_8,25,[128,32,8,1024],402304,115.019274,2.994,291728.774777,80.06,-6.22,26.08,6.63
