csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,"[16,16,8]",53168,0.084436,8.172,24255.088971,0.00,0.00,0.00,0.00
csv,paper,12,"[16,16,8,2]",64384,0.108855,9.850,37627.958484,0.00,0.00,0.00,0.00
csv,paper,13,"[16,16,8,4]",79936,0.153765,10.169,53276.008210,0.00,0.00,0.00,0.00
csv,paper,14,"[16,16,8,8]",90144,0.248958,10.208,65810.427376,0.00,0.00,0.00,0.00
csv,paper,15,"[16,16,8,16]",98288,0.438710,10.661,74691.779079,0.00,0.00,0.00,0.00
csv,paper,16,"[16,16,8,32]",110640,0.819015,10.619,80018.054464,0.00,0.00,0.00,0.00
csv,paper,17,"[16,16,8,64]",131440,1.594992,11.039,82177.210045,0.00,0.00,0.00,0.00
csv,paper,18,"[16,16,8,128]",155840,3.137985,11.774,83538.969833,0.00,0.00,0.00,0.00
csv,paper,19,"[16,16,8,256]",196528,6.270674,12.636,83609.517562,0.00,0.00,0.00,0.00
csv,paper,20,"[16,16,8,512]",212336,12.535197,12.594,83650.541723,0.00,0.00,0.00,0.00
csv,mod16,16,"[16,16,16,16]",109344,0.829997,10.429,78959.304701,-1.17,1.34,-1.79,-1.32
csv,mod16,17,"[16,16,16,16,2]",139840,1.587384,13.014,82571.089347,6.39,-0.48,17.90,0.48
csv,mod16,18,"[16,16,16,16,4]",149696,3.157874,12.840,83012.815938,-3.94,0.63,9.05,-0.63
csv,mod16,19,"[16,16,16,16,8]",160896,6.259322,13.194,83761.145052,-18.13,-0.18,4.41,0.18
csv,mod16,20,"[16,16,16,16,16]",173632,12.547298,13.050,83569.864656,-18.23,0.10,3.63,-0.10
csv,uni32x3,15,"[32,32,32]",119376,0.423375,9.024,77397.019018,21.46,-3.50,-15.36,3.62
csv,uni32x3,16,"[32,32,32,2]",155296,0.796925,11.889,82236.101491,40.36,-2.70,11.96,2.77
csv,uni32x3,17,"[32,32,32,4]",163072,1.542418,11.547,84978.263113,24.07,-3.30,4.60,3.41
csv,uni32x3,18,"[32,32,32,8]",180320,3.041511,11.659,86188.751558,15.71,-3.07,-0.98,3.17
csv,uni32x3,19,"[32,32,32,16]",198080,6.057422,11.553,86552.987402,0.79,-3.40,-8.57,3.52
csv,uni32x3,20,"[32,32,32,32]",218240,12.060810,11.911,86940.764415,2.78,-3.78,-5.42,3.93
csv,uni64x2x8,15,"[64,64,8]",166608,0.423229,9.901,77423.846088,69.51,-3.53,-7.13,3.66
csv,uni64x2x8,16,"[64,64,8,2]",198624,0.783385,12.176,83657.464949,79.52,-4.35,14.66,4.55
csv,uni64x2x8,17,"[64,64,8,4]",218752,1.510141,12.144,86794.559179,66.43,-5.32,10.01,5.62
csv,uni64x2x8,18,"[64,64,8,8]",232736,2.986969,12.010,87762.545249,49.34,-4.81,2.00,5.06
csv,uni64x2x8,19,"[64,64,8,16]",280144,5.933344,12.938,88362.983862,42.55,-5.38,2.40,5.69
csv,uni64x2x8,20,"[64,64,8,32]",299632,11.958371,13.509,87685.519633,41.11,-4.60,7.27,4.82
csv,hi128_32_8,15,"[128,32,8]",231920,0.416800,10.936,78618.077310,135.96,-4.99,2.58,5.26
csv,hi128_32_8,16,"[128,32,8,2]",248672,0.786282,12.740,83349.231998,124.76,-4.00,19.97,4.16
csv,hi128_32_8,17,"[128,32,8,4]",265568,1.495268,12.876,87657.888771,102.05,-6.25,16.64,6.67
csv,hi128_32_8,18,"[128,32,8,8]",304656,2.937571,13.072,89238.343126,95.49,-6.39,11.02,6.82
csv,hi128_32_8,19,"[128,32,8,16]",338944,5.875033,13.095,89240.010955,72.47,-6.31,3.64,6.73
csv,hi128_32_8,20,"[128,32,8,32]",369088,11.805733,13.551,88819.219394,73.82,-5.82,7.60,6.18
