csv,label,k,schedule,proof_bytes,prove_s,verify_ms,prove_elems_per_s,delta_size_pct_vs_paper,delta_prove_pct_vs_paper,delta_verify_pct_vs_paper,delta_throughput_pct_vs_paper
csv,paper,11,[16,16,8],29976,0.024952,1.891,82078.513308,0.00,0.00,0.00,0.00
csv,paper,12,[16,16,8,2],34848,0.032864,1.922,124635.901743,0.00,0.00,0.00,0.00
csv,paper,13,[16,16,8,4],43040,0.048379,2.019,169329.160323,0.00,0.00,0.00,0.00
csv,paper,14,[16,16,8,8],44064,0.079566,2.016,205915.852859,0.00,0.00,0.00,0.00
csv,paper,15,[16,16,8,16],47904,0.142287,2.074,230295.674260,0.00,0.00,0.00,0.00
csv,paper,16,[16,16,8,32],52000,0.267374,2.103,245109.866301,0.00,0.00,0.00,0.00
csv,paper,17,[16,16,8,64],67872,0.518483,2.204,252799.044184,0.00,0.00,0.00,0.00
csv,paper,18,[16,16,8,128],86048,1.020099,2.331,256978.941452,0.00,0.00,0.00,0.00
csv,paper,19,[16,16,8,256],118560,2.021017,2.545,259417.954290,0.00,0.00,0.00,0.00
csv,paper,20,[16,16,8,512],118560,4.032507,2.590,260030.776877,0.00,0.00,0.00,0.00
csv,mod16,16,[16,16,16,16],50208,0.266850,2.103,245590.750214,-3.45,-0.20,0.01,0.20
csv,mod16,17,[16,16,16,16,2],68648,0.516503,2.660,253768.345311,1.14,-0.38,20.71,0.38
csv,mod16,18,[16,16,16,16,4],69160,1.015363,2.674,258177.703464,-19.63,-0.46,14.71,0.47
csv,mod16,19,[16,16,16,16,8],70184,2.015463,2.671,260132.755636,-40.80,-0.27,4.95,0.28
csv,mod16,20,[16,16,16,16,16],72232,4.028191,2.765,260309.396382,-39.08,-0.11,6.75,0.11
csv,uni32x3,15,[32,32,32],56600,0.136748,2.054,239622.495117,18.15,-3.89,-0.97,4.05
csv,uni32x3,16,[32,32,32,2],83488,0.255905,2.271,256094.857135,60.55,-4.29,7.99,4.48
csv,uni32x3,17,[32,32,32,4],84000,0.496321,2.277,264087.043131,23.76,-4.27,3.32,4.47
csv,uni32x3,18,[32,32,32,8],85024,0.973503,2.275,269279.110676,-1.19,-4.57,-2.42,4.79
csv,uni32x3,19,[32,32,32,16],87072,1.930310,2.299,271608.224573,-26.56,-4.49,-9.67,4.70
csv,uni32x3,20,[32,32,32,32],91168,3.863201,2.408,271426.723790,-23.10,-4.20,-7.03,4.38
csv,uni64x2x8,15,[64,64,8],91416,0.133343,2.245,245742.071273,90.83,-6.29,8.26,6.71
csv,uni64x2x8,16,[64,64,8,2],96288,0.251006,2.314,261093.448734,85.17,-6.12,10.05,6.52
csv,uni64x2x8,17,[64,64,8,4],96800,0.490274,3.928,267344.424379,42.62,-5.44,78.22,5.75
csv,uni64x2x8,18,[64,64,8,8],97824,0.955093,2.318,274469.548288,13.69,-6.37,-0.57,6.81
csv,uni64x2x8,19,[64,64,8,16],133920,1.909417,2.568,274580.134635,12.96,-5.52,0.91,5.84
csv,uni64x2x8,20,[64,64,8,32],138016,3.853853,2.622,272085.119951,16.41,-4.43,1.23,4.64
csv,hi128_32_8,15,[128,32,8],124184,0.131764,2.386,248686.372749,159.24,-7.40,15.03,7.99
csv,hi128_32_8,16,[128,32,8,2],129056,0.245820,2.430,266601.822412,148.18,-8.06,15.53,8.77
csv,hi128_32_8,17,[128,32,8,4],129568,0.479793,2.445,273184.714904,90.90,-7.46,10.92,8.06
csv,hi128_32_8,18,[128,32,8,8],138528,0.951662,2.520,275459.115742,60.99,-6.71,8.07,7.19
csv,hi128_32_8,19,[128,32,8,16],142368,1.890592,2.548,277314.252824,20.08,-6.45,0.12,6.90
csv,hi128_32_8,20,[128,32,8,32],146464,3.791270,2.611,276576.480837,23.54,-5.98,0.82,6.36
